model,rmse,mae,r2
GradientBoosting,0.49649006049627264,0.33454337193291084,0.8118889718670131
RandomForest,0.5091420802970897,0.332062969127445,0.8021795773429192
DecisionTree,0.6450649913181349,0.4334032764048256,0.6824587972658335
Ridge,0.745556744281478,0.5331931195789733,0.5758157428913682
LinearRegression,0.7455813830127761,0.5332001304956565,0.5757877060324511
